creationDate|tweetText|likes|retweets
2015-10-19 17:37:47|Diali came to @OFA to develop her digital content production skills and continue a career in organizing. Read more: http://t.co/A7Hi4BWz6e|688|206
2015-10-19 16:36:58|RT @WhiteHouse: RT the good news: U.S. companies are committing at least $160 billion to #ActOnClimate → http://t.co/IU2TJ02bHg http://t.co…|0|498
2015-10-17 18:01:56|"""The United States is home to 5% of the world’s population, but 25% of the world’s prisoners."" —President Obama http://t.co/TIkMUi58f5"|3027|2354
2015-10-17 17:20:49|In the weekly address, President Obama discusses the steps needed to fix our criminal justice system. http://t.co/TIkMUi58f5|1304|545
2015-10-16 21:22:15|Retweet if you agree it's time to #ActOnClimate. http://t.co/ku22tRSWal|4720|5747
2015-10-16 20:03:02|Coal mining companies are supporting an international deal to #ActOnClimate: http://t.co/dbGikYvJYF It's time for deniers to get on board.|846|400
2015-10-16 18:02:18|Under the Obama administration, the deficit is down nearly 75 percent—the lowest it's been since 2007. http://t.co/3LCue7Fe7s|1638|903
2015-10-16 15:35:31|Add your name to the thousands of people asking Congress to stand up and #DoSomething about gun violence: http://t.co/S2Y1Mk6iWK|1964|998
2015-10-15 22:28:48|RT @WhiteHouse: RT to spread the word: We've reduced the deficit by nearly three-fourths under @POTUS → http://t.co/CCYfrIrLRr http://t.co/…|0|1140
2015-10-15 20:46:16|LIVE: President Obama is speaking at a celebration of Hispanic Heritage Month. http://t.co/E1PA8AZUDS|861|315
2015-10-15 20:10:09|Tune in at 4:45 p.m. ET to watch President Obama speak at an event celebrating Hispanic Heritage Month. http://t.co/GXwTQgKqnG|925|307
2015-10-15 19:09:08|See where your representatives stand on the basic science of climate change: http://t.co/ElYb0YIG73 #ActOnClimate|737|384
2015-10-15 17:24:07|Climate change denial is at a record low—just not in Congress. Read more: http://t.co/0sVnLm05NQ #ActOnClimate|1254|654
2015-10-14 22:41:29|Make your sweet tooth happy—it's #NationalDessertDay. http://t.co/L7GnDIUO3c|4544|1642
2015-10-14 20:17:00|Hundreds of organizers recently gathered in New Mexico to celebrate progress on health care reform. Read more: http://t.co/k89X7zL294|822|314
2015-10-14 18:23:34|"RT @WhiteHouse: RT if you agree: We can't condemn our kids to a planet that's beyond fixing. http://t.co/xQDERBymp3 #PeoplesClimate
http://…"|0|2371
2015-10-14 16:59:12|Another reason why it's so important to #ActOnClimate: http://t.co/XsCMTXEWdT|1129|577
2015-10-14 15:19:43|Read why @GovEdRendell thinks #TPP will be good for manufacturing and boost products #MadeInAmerica: http://t.co/qJJO4ShVUs|484|170
2015-10-13 21:49:18|Former Washington Governor Christine Gregoire on why the #TPP will help protect the environment: http://t.co/o6zeYoOKFp|742|270
2015-10-13 20:18:49|Expanding Medicaid isn't just practical—it's the right thing to do. http://t.co/RDg6nz8nnF #PeopleOverPolitics|900|373
2015-10-13 17:30:42|Repealing #Obamacare is still a bad idea. http://t.co/pBGjtIKc59|1530|634
2015-10-13 15:10:42|Keep the conversation on gun violence going until Congress will #DoSomething about it: http://t.co/A96eAymD37|1393|744
2015-10-10 18:30:49|"""Outdated trade rules put our workers at a disadvantage—and TPP will change that."" —President Obama http://t.co/mrdFZvoETy #TPP"|1253|508
2015-10-10 15:46:33|In the weekly address, President Obama discusses how the #TPP will put American workers first. http://t.co/mrdFZvoETy|1010|366
2015-10-09 17:01:56|Wind and solar energy are getting cheaper and cheaper—the #SwitchToClean energy is happening. http://t.co/nzigk15vXp|2232|1382
2015-10-08 22:22:07|Add your name to the list of people asking Congress to #DoSomething about gun violence: http://t.co/Ff6P4JyV9Y|2092|1192
2015-10-08 19:06:31|Check out how these @OFA volunteers are making a difference on gun violence in their community: http://t.co/0lAwbcKo7D #DoSomething|1005|382
2015-10-08 16:16:39|Retweet if you agree: It's time for Congress to put politics aside and #DoSomething about gun violence. http://t.co/TaInIBmrhG|7009|10372
2015-10-08 14:22:22|Our thoughts and prayers are not enough. It's time for Congress to #DoSomething to prevent gun violence tragedies: http://t.co/TMWUhGgsXK|2179|1172
2015-10-07 21:43:03|"""This will not change until the politics change."" —President Obama on gun violence #DoSomething http://t.co/kqz7WIShnh"|2618|1426
2015-10-07 20:28:34|Take a look at some of the most important recent stories on gun violence prevention: http://t.co/02cXehbVvi #DoSomething|809|411
2015-10-07 18:54:30|Add your name if you agree it's time for Congress to #DoSomething about gun violence in America. http://t.co/ttnwvksW10|2542|1439
2015-10-07 17:56:34|RT @WhiteHouse: Every hardworking American should earn enough money to support their family → http://t.co/12kdzQvx1i #StartTheConvo http://…|0|1326
2015-10-07 16:47:28|LIVE: President Obama is speaking at the @WhiteHouse Summit on Worker Voice. http://t.co/Fnr99d1D7q|666|226
2015-10-07 16:00:45|An @OFA volunteer reflects on the trainings she received—that helped her land her dream job. http://t.co/YABvrFllkR|570|200
2015-10-06 20:23:36|"RT @WhiteHouse: President Obama's trade deal =
More #MadeInAmerica exports abroad.
More higher-paying jobs here at home. #TPP https://t.co/…"|0|389
2015-10-06 18:42:52|Stand up for American workers—add your name if you agree it's time to #LeadOnTrade. http://t.co/YBluIYLipw|991|337
2015-10-06 17:25:53|The #TPP establishes the highest labor standards of any trade agreement in history. http://t.co/3vqoancyYp|1088|402
2015-10-06 15:47:20|The more U.S. goods sold abroad, the more higher-paying jobs are supported at home—another reason to #LeadOnTrade: http://t.co/P2Gl6w6R1Z|1026|398
2015-10-05 21:41:32|"""I refuse to leave our children a planet that's beyond their capacity to repair."" —President Obama #OurOcean2015 https://t.co/TfbkHQDDg0"|4180|2289
2015-10-05 20:19:55|Add your name to support the most progressive trade deal in this nation's history: http://t.co/DPx1onQXmm #LeadOnTrade|832|304
2015-10-05 17:43:18|"RT @WhiteHouse: ""Environmentalists praise wildlife measures in Trans-Pacific trade pact"" → http://t.co/8iqgQCfoZZ #TPP http://t.co/mPvsuaRX…"|0|489
2015-10-05 15:54:13|Great news: President Obama just secured a trade deal that puts American workers first. http://t.co/lYI3qRClX6 #LeadOnTrade|1296|480
2015-10-03 20:01:29|Twenty-three years and still going strong. Here's to many more. #HappyAnniversary http://t.co/EdEvqUF0s7|95157|52388
2015-10-03 18:29:58|"""Congress should do its job, stop kicking the can down the road, and pass a serious budget."" —President Obama http://t.co/HsE9QjkfLD"|2460|921
2015-10-03 16:59:47|In the weekly address, President Obama urges Congress to pass a real budget. http://t.co/HsE9QjkfLD|1098|368
2015-10-02 20:14:56|Private-sector jobs have grown for a record-breaking 67 straight months—but there's more to do.|1502|542
2015-10-02 17:26:12|More than 10,000 people die from gun violence in the U.S. each year—that can change. http://t.co/Oi80sA6qJD http://t.co/iguwO9P5dh|2328|1944
2015-10-02 15:58:44|Our thoughts and prayers are not enough—it's time to take action. http://t.co/qfEm0j9r3V|13612|8415
2015-10-02 13:37:57|RT @WhiteHouse: Watch @POTUS speak on the tragic shooting in Roseburg, Oregon. #UCCShooting http://t.co/8sheX2zpFa|0|3579
2015-10-01 22:04:59|RT @WhiteHouse: At 6:20pm ET, @POTUS will deliver a statement on the shooting in Oregon → https://t.co/g3WEdxpHwx #UCCShooting|0|622
2015-10-01 17:40:33|"RT @WhiteHouse: RT if you agree: It's time to make community college free for responsible students → http://t.co/SEGOA421q1
https://t.co/VN…"|0|1473
2015-10-01 15:24:49|Organizers across the country are working to prevent gun violence—state by state. Read more: http://t.co/DpnWBhEJcc|1911|751
2015-10-01 00:47:29|LAST CALL: Enter for a chance to meet President Obama. http://t.co/0s2pXZGsI0 http://t.co/cbSaQVR4SO|1484|426
2015-09-30 23:26:15|DEADLINE: Tonight. Time to make your move—chip in now. http://t.co/AjKnE79V5V http://t.co/fwz6HYAmqw|1730|522
2015-09-30 22:26:20|This is your chance to meet President Obama. (No joke.) http://t.co/wrjKnubpxY http://t.co/EoSWsROzjY|1464|434
2015-09-30 21:19:13|You and a guest could fly to D.C. and meet the President. Enter now for your chance: http://t.co/k3VB2JxQAg|918|280
2015-09-30 19:45:41|Give this grassroots movement a lift—become a recurring donor today: http://t.co/90E4s8MZth http://t.co/fFsIi3uHLc|1883|580
2015-09-30 18:40:58|Enter before midnight and you—and your BFF—could meet the President this fall. http://t.co/XjtDaGWXno http://t.co/hRrMiIawHe|1064|309
2015-09-30 17:21:54|Better hurry—the deadline to show your support for this grassroots movement is tonight. http://t.co/n8C7rdD4s0 http://t.co/GHxzFc8rTC|2381|702
2015-09-30 16:18:21|Want to hear that laugh in person? Throw your name in before tonight's deadline: http://t.co/XZkI1GSUg9 http://t.co/bgzegZCDDU|1316|386
2015-09-30 15:07:57|Enter now and you could meet President Obama in D.C. this fall: http://t.co/HDxcIuds0r|837|259
2015-09-29 22:00:15|"Coffee: √
Fall sweater: √
Meeting the President: ?

Enter before #NationalCoffeeDay ends: http://t.co/S6F8APNINk http://t.co/6HdX6i20kg"|2067|652
2015-09-29 18:37:26|Chip in to fight for real, lasting change: http://t.co/OKJKKxfDIi http://t.co/qq6zlVWWeG|4272|1446
2015-09-29 17:33:17|Give it your best shot—enter today for your chance to meet the President: http://t.co/jXBu09fx7F http://t.co/VRgaDL2FQu|2360|623
2015-09-29 15:13:12|In an interview with @RollingStone, President Obama lays out why we need to #ActOnClimate before it's too late. http://t.co/gMyOuzHcNM|1901|826
2015-09-28 21:03:26|This movement started with grassroots supporters just like you. Help keep it going—chip in $5 or more today: http://t.co/L5qG329kPg|806|281
2015-09-28 19:13:17|Watch a #VICEonHBO clip about President Obama's historic visit to a federal prison: http://t.co/rn8up4iCE5|1058|396
2015-09-28 16:47:45|Don't miss the chance to meet President Obama this fall—all you have to do is enter: http://t.co/5uTwJE8jiX|1114|324
2015-09-28 14:18:09|RT @WhiteHouse: Watch @POTUS speak at the @UN General Assembly at 10am ET → http://t.co/QrXzBhdOjp #UNGA http://t.co/9vdmSOeYe6|0|511
